Timestamp,Sensor-id,Value
2020-04-06 00:00,1,13.96
2020-04-06 00:00,4,13.91
2020-04-06 00:00,6,14.63
2020-04-06 00:00,9,14.03
2020-04-06 00:00,11,15.57
2020-04-06 00:00,12,14.1
2020-04-06 00:00,13,14.64
2020-04-06 00:00,14,14.0
2020-04-06 00:00,15,15.69
2020-04-06 00:01,1,13.97
2020-04-06 00:01,4,14.96
2020-04-06 00:01,6,15.19
2020-04-06 00:01,9,14.55
2020-04-06 00:01,11,14.68
2020-04-06 00:01,12,14.69
2020-04-06 00:01,13,14.86
2020-04-06 00:01,14,14.72
2020-04-06 00:01,15,14.96
2020-04-06 00:02,1,14.87
2020-04-06 00:02,4,14.18
2020-04-06 00:02,6,14.54
2020-04-06 00:02,9,14.94
2020-04-06 00:02,11,14.29
2020-04-06 00:02,12,14.0
2020-04-06 00:02,13,14.87
2020-04-06 00:02,14,14.67
2020-04-06 00:02,15,14.95
2020-04-06 00:03,1,15.28
2020-04-06 00:03,4,14.6
2020-04-06 00:03,6,14.87
2020-04-06 00:03,9,15.66
2020-04-06 00:03,11,14.97
2020-04-06 00:03,12,15.1
2020-04-06 00:03,13,14.48
2020-04-06 00:03,14,15.03
2020-04-06 00:03,15,13.59
2020-04-06 00:04,1,15.52
2020-04-06 00:04,4,14.43
2020-04-06 00:04,6,15.07
2020-04-06 00:04,9,14.44
2020-04-06 00:04,11,15.86
2020-04-06 00:04,12,14.23
2020-04-06 00:04,13,14.33
2020-04-06 00:04,14,15.18
2020-04-06 00:04,15,14.08
2020-04-06 00:05,1,14.42
2020-04-06 00:05,4,13.69
2020-04-06 00:05,6,15.17
2020-04-06 00:05,9,14.76
2020-04-06 00:05,11,14.08
2020-04-06 00:05,12,14.11
2020-04-06 00:05,13,14.75
2020-04-06 00:05,14,16.04
2020-04-06 00:05,15,14.25
2020-04-06 00:06,1,14.15
2020-04-06 00:06,4,14.25
2020-04-06 00:06,6,14.49
2020-04-06 00:06,9,14.23
2020-04-06 00:06,11,15.06
2020-04-06 00:06,12,14.81
2020-04-06 00:06,13,13.55
2020-04-06 00:06,14,14.53
2020-04-06 00:06,15,15.15
2020-04-06 00:07,1,14.43
2020-04-06 00:07,4,14.96
2020-04-06 00:07,6,14.97
