Timestamp,Sensor-id,Long,Lat,Value,User-id
2020-04-06 00:04,1,-119.96665,0.18792,28.78,MySensor
2020-04-06 00:04,2,-119.96723,0.174,19.84,TestUnit
2020-04-06 00:04,3,-119.90778,0.19256,20.07,CitizenScientist
2020-04-06 00:04,4,-119.93185,0.18734,14.87,ASWillhiem
2020-04-06 00:04,5,-119.86892,0.19111,11.47,CitizenScientist
2020-04-06 00:04,6,-119.85529,0.20155,17.4,MySensor
2020-04-06 00:04,7,-119.8492,0.18067,9.7,MySensor
2020-04-06 00:04,8,-119.82571,0.19807,8.07,MySensor
2020-04-06 00:04,9,-119.87617,0.18096,9.13,MySensor
2020-04-06 00:04,10,-119.87066,0.21982,7.57,HSS
2020-04-06 00:04,11,-119.8869,0.20184,8.83,RichardFox
2020-04-06 00:04,12,-119.84166,0.19053,14.08,CitizenScientist
2020-04-06 00:04,13,-119.84166,0.14529,16.08,HSS
2020-04-06 00:04,14,-119.84166,0.13891,14.87,AS-3
2020-04-06 00:04,15,-119.83035,0.14007,15.7,CitizenScientist
2020-04-06 00:04,16,-119.90024,0.09541,13.87,CitizenScientist
2020-04-06 00:04,17,-119.92518,0.11745,28.42,HiMarkHS
2020-04-06 00:04,18,-119.90981,0.16936,0.0,HiMarkHS
2020-04-06 00:04,19,-119.90488,0.14964,20.37,CitizenScientist
2020-04-06 00:04,20,-119.91416,0.14993,40.88,CitizenScientist
2020-04-06 00:04,21,-119.74828,0.04785,32.5,CitizenScientist
2020-04-06 00:04,22,-119.76075,0.04205,20.33,HSS
2020-04-06 00:04,23,-119.73755,0.04669,13.47,XrayLady
2020-04-06 00:04,24,-119.84108,0.02813,23.47,CitizenScientist
2020-04-06 00:04,25,-119.82078,0.03451,26.22,CitizenScientist
2020-04-06 00:04,26,-119.86225,0.05568,27.13,CitizenScientist
2020-04-06 00:04,27,-119.8057,0.01711,20.93,CitizenScientist
2020-04-06 00:04,28,-119.7709,0.04437,13.58,AS-1
2020-04-06 00:04,29,-119.74944,0.06206,13.42,AS-2
2020-04-06 00:04,30,-119.73233,0.08294,15.15,PeterLovesCrystals54
2020-04-06 00:04,31,-119.73233,0.08294,15.39,RadCurieous
2020-04-06 00:04,32,-119.76916,0.12441,29.33,GermanWrinkler43
2020-04-06 00:04,33,-119.8086,0.09715,29.27,CitizenScientist
2020-04-06 00:04,34,-119.80541,0.08323,29.12,CitizenScientist
2020-04-06 00:04,35,-119.78859,0.08323,30.55,HiMarkHS
2020-04-06 00:04,36,-119.85152,0.15283,40.78,CitizenScientist
2020-04-06 00:04,37,-119.89676,0.15341,8.08,Bob
2020-04-06 00:04,38,-119.89038,0.16037,40.4,ProfessorSievert
2020-04-06 00:04,39,-119.87994,0.12557,40.68,CitizenScientist
2020-04-06 00:04,40,-119.89067,0.11658,30.73,MutantX
2020-04-06 00:04,41,-119.88342,0.1218,32.82,CitizenScientist
2020-04-06 00:04,42,-119.81846,0.1218,33.88,AlwaysGlowing
2020-04-06 00:04,43,-119.8608,0.12557,32.72,CitizenScientist
2020-04-06 00:04,44,-119.89038,0.16617,38.35,TaxiDriver
2020-04-06 00:04,45,-119.83122,0.06235,39.45,CitizenScientist
2020-04-06 00:04,46,-119.85993,0.17371,31.87,Ckimball
2020-04-06 00:04,47,-119.8753,0.174,31.15,UncleG
2020-04-06 00:04,48,-119.77525,0.06177,40.93,NeutronsAreFreeOfCharge
2020-04-06 00:04,49,-119.86138,0.16124,40.15,MySensor
2020-04-06 00:04,50,-119.90401,0.18618,32.53,MySensor
2020-04-06 00:09,1,-119.96665,0.18792,29.22,MySensor
2020-04-06 00:09,2,-119.96723,0.174,21.06,TestUnit
2020-04-06 00:09,3,-119.90778,0.19256,22.13,CitizenScientist
2020-04-06 00:09,4,-119.93185,0.18734,14.8,ASWillhiem
2020-04-06 00:09,5,-119.86892,0.19111,13.18,CitizenScientist
2020-04-06 00:09,6,-119.85529,0.20155,17.13,MySensor
2020-04-06 00:09,7,-119.8492,0.18067,8.52,MySensor
2020-04-06 00:09,8,-119.82571,0.19807,9.47,MySensor
2020-04-06 00:09,9,-119.87617,0.18096,8.12,MySensor
2020-04-06 00:09,10,-119.87066,0.21982,7.38,HSS
2020-04-06 00:09,11,-119.8869,0.20184,8.55,RichardFox
2020-04-06 00:09,12,-119.84166,0.19053,13.4,CitizenScientist
2020-04-06 00:09,13,-119.84166,0.14529,15.19,HSS
2020-04-06 00:09,14,-119.84166,0.13891,15.25,AS-3
2020-04-06 00:09,15,-119.83035,0.14007,15.18,CitizenScientist
